Article URL,Source Link
https://pesacheck.org/faux-cette-image-ne-montre-pas-le-pr%C3%A9sident-congolais-tshisekedi-embarquant-pour-litalie-en-2024-80fa003a4730?source=---------9-----------------------,https://rsci.app.link/?%24canonical_url=https%3A%2F%2Fmedium.com%2Fp%2F80fa003a4730&%7Efeature=LoOpenInAppButton&%7Echannel=ShowPostUnderCollection&source=---top_nav_layout_nav----------------------------------
https://pesacheck.org/faux-la-tour-eiffel-na-pas-pris-feu-en-janvier-2024-a31fdbf7b023?source=---------3-----------------------,https://rsci.app.link/?%24canonical_url=https%3A%2F%2Fmedium.com%2Fp%2Fa31fdbf7b023&%7Efeature=LoOpenInAppButton&%7Echannel=ShowPostUnderCollection&source=---top_nav_layout_nav----------------------------------
https://pesacheck.org/canular-les-volontaires-onu-nont-lanc%C3%A9-aucun-recrutement-pour-l-ann%C3%A9e-2024-2025-71638c31df76?source=---------8-----------------------,https://rsci.app.link/?%24canonical_url=https%3A%2F%2Fmedium.com%2Fp%2F71638c31df76&%7Efeature=LoOpenInAppButton&%7Echannel=ShowPostUnderCollection&source=---top_nav_layout_nav----------------------------------
https://stopintox.cm/2019/07/04/oui-le-chocolat-mambo-est-un-produit-made-in-cameroun-meme-si-lentreprise-qui-le-produit-est-a-capitaux-etrangers/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/culture/gastronomie/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/economie/economie-cameroun/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/sport/football/can-2021/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/11/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/eau-sante-environnement/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/culture/cinema/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/04/15/non-cette-image-na-pas-ete-prise-en-afrique-du-sud/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/culture/voyages/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/planete/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/politique/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/economie/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/culture/scenes/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/04/26/annie-payep-nlepe-il-faut-adopter-une-loi-qui-oblige-les-detenteurs-du-pouvoir-public-a-repondre-aux-journalistes/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2023/07/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2023/05/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/03/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2023/09/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2021/05/27/cameroun-le-bepc-2021-aura-bien-lieu-du-14-au-18-juin/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/economie/emploi/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/sport/football/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2023/11/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/06/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/international/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2023/08/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2020/11/27/non-les-codes-1993-et-15067-ne-permettent-ni-de-retrouver-le-numero-de-cni-dune-personne-ni-de-reinitialiser-le-code-secret-orange-money/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/06/04/non-la-video-en-circulation-ne-montre-pas-une-delegation-de-la-fifa-arrivee-au-cameroun/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/economie/energie/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/economie/economie-africaine/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/04/19/non-cette-video-dune-jeune-fille-torturant-un-nourrisson-na-pas-ete-tournee-au-cameroun/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2023/04/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2023/03/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/infrastructures/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/culture/musiques/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/08/13/non-ces-images-nont-pas-ete-prises-dans-la-ville-de-kribi/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/10/11/non-cette-video-presentee-comme-celle-des-jeunes-affrontant-des-microbes-na-pas-ete-tournee-au-cameroun/#respond,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/culture/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/10/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/culture/mode/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/10/03/non-cette-video-montrant-une-ecole-qui-seffondre-sur-les-eleves-ne-provient-pas-de-lextreme-nord-du-cameroun/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/05/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2023/01/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/04/18/non-cole-palmer-na-pas-les-origines-camerounaises/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2023/12/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/10/05/non-un-chinois-na-pas-ete-intronise-chef-de-3eme-degre-a-ngaoundere/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/05/29/oui-un-parent-peut-contraindre-legalement-son-enfant-a-lassister/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/medias/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/04/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/05/13/desinformation-astuces-pour-contrer-les-fakes-news/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2021/01/14/non-le-ministere-de-la-sante-publique-na-pas-rendu-public-le-traitement-contre-la-covid19/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/sante/coronavirus/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/11/05/election-comment-rediger-des-articles-de-factcheking-a-cette-periode/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/sport/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2021/01/20/oui-la-dgsn-a-rendu-publics-des-numeros-whatsapp-pour-suivre-la-production-de-sa-cni/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/06/10/non-la-video-dans-laquelle-on-voit-samuel-etoo-avoir-un-entretien-avec-le-ministre-narcisse-mouelle-kombi-na-pas-ete-tournee-lors-du-match-cameroun-contre-le-cap-vert/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/08/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2024/10/11/non-cette-video-presentee-comme-celle-des-jeunes-affrontant-des-microbes-na-pas-ete-tournee-au-cameroun/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/televisions/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/category/fact-check/education/,https://stopintox.cm/category/fact-check/
https://stopintox.cm/2023/02/,https://stopintox.cm/category/fact-check/
https://pesacheck.org/altered-this-screenshot-of-a-post-by-fbc-is-doctored-13c7e6c492f4?source=collection_home---4------5-----------------------,https://rsci.app.link/?%24canonical_url=https%3A%2F%2Fmedium.com%2Fp%2F13c7e6c492f4&%7Efeature=LoOpenInAppButton&%7Echannel=ShowPostUnderCollection&source=---top_nav_layout_nav----------------------------------
https://congocheck.net/category/actus/fact-check/etat-de-siege/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/lutte-contre-les-discours-de-haine/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/nous-proposer-un-article-2/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/lutte-contre-les-discours-de-haine/sango-ya-bomoko/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/lutte-contre-les-discours-de-haine/voxcongo/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/lutte-contre-les-discours-de-haine/alerte-hebdo/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/mpoxfacts/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/desk-congo-brazzaville/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/communiques-et-rapports/communiques/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/exetat-2023-ces-resultats-sont-faux/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/2024/12/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/elections/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/rca-desk/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/communiques-et-rapports/rapports/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/lutte-contre-les-discours-de-haine/focus-de-la-semaine/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/nyiragongo-facts/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/factcheck-ebola/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/ukweli-bila-chuki/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/factcheck-en-videos/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://congocheck.net/category/actus/fact-check/factcheck-covid/,https://congocheck.net/category/actus/fact-check/mpoxfacts/
https://akhbarmeter.ams3.digitaloceanspaces.com/v3.0/publication/file/wy8Ju5vjPvz3kDyTLC6gNGWeDjCWbOwnMklwo8Yw.pdf,
https://akhbarmeter.org/articles/29807,
https://akhbarmeter.ams3.digitaloceanspaces.com/uploads/public/645/a48/76a/645a4876a0b81427316920.pdf,
https://akhbarmeter.org/articles/29812,
https://akhbarmeter.ams3.digitaloceanspaces.com/uploads/public/641/b14/8ee/641b148eec20e726824345.pdf,
https://akhbarmeter.org/fake-news,
https://www.saheeh.news/ar/node/3456,
https://www.saheeh.news/ar/node/1925,
https://www.saheeh.news/ar/node/198,
https://www.saheeh.news/ar/taxonomy/term/21,
https://www.saheeh.news/ar/node/3454,
https://www.saheeh.news/ar/node/1466,
https://www.saheeh.news/ar/taxonomy/term/2,
https://www.saheeh.news/ar/node/1927,
https://www.saheeh.news/ar/node/3462,
https://www.saheeh.news/ar/taxonomy/term/820,
https://www.saheeh.news/ar/node/3461,
https://www.saheeh.news/ar/node/3453,
https://www.saheeh.news/ar/node/1059,
https://www.saheeh.news/ar/taxonomy/term/3,
https://www.saheeh.news/ar/taxonomy/term/1,
https://www.saheeh.news/ar/taxonomy/term/4,
https://www.saheeh.news/en/taxonomy/term/2,
https://www.saheeh.news/ar/node/3457,
https://www.saheeh.news/ar/node/3319,
https://tafnied.com/%D8%AA%D9%81%D9%86%D9%8A%D8%AF-%D8%AD%D8%B5%D8%A7%D8%AF-2024/,
